"Municipality","Code","Porcentage of population living with at most 1/2 minimum wage (%)","Employed population (%)","Natural forests (%)","Households with access to electric energy (%)","Planted or destined to harvest area (%)","Maximum capcacity of reservoirs (m^3)","Nature conservation unit demarcated area(%)"
"Tibau",2411056,0.446,0.2243,0.4589,0.9941,0.178035070550818,0,0
"Tibau do Sul",2414209,0.414,0.3612,0.2919,0.9873,0.115852367622498,0,0.46818271100548
"Timbaúba dos Batistas",2414308,0.402,0.1343,0.1919,0.9435,0.00665152090720833,0,0
"Touros",2414407,0.52,0.0973,0.2823,0.968,0.155881864664859,11074800,0
"Triunfo Potiguar",2414456,0.484,0.1205,0.6667,0.9943,0.00825698105431978,0,0
"Umarizal",2414506,0.496,0.0977,0.4494,0.9779,0.0337137705555805,21403850,0
"Upanema",2414605,0.554,0.0963,0.4097,0.9875,0.0162422168391241,292813650,0
"Várzea",2414704,0.472,0.0861,0.1064,0.9818,0.0192164097158168,0,0
"Venha-Ver",2414753,0.583,0.078,0.4111,0.9913,0.144643956581511,0,0
"Vera Cruz",2414803,0.477,0.0676,0.0484,0.9898,0.302232539284198,0,0.000118867902100396
"Viçosa",2414902,0.535,0.1248,0.4347,0.9937,0.0773146423774535,0,0
"Vila Flor",2415008,0.483,0.1135,0.1088,0.9733,0.00915646102781275,0,0
